Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 30 s	12 min 45 s	17 min 	21 min 15 s	25 min 30 s	29 min 44 s	33 min 59 s	38 min 14 s	42 min 29 s	46 min 44 s	50 min 58 s	55 min 13 s	59 min 28 s	63 min 43 s	67 min 58 s	72 min 13 s	76 min 27 s	80 min 42 s	84 min 58 s	89 min 13 s	93 min 28 s	97 min 44 s	101 min 58 s	106 min 14 s	110 min 29 s	114 min 43 s	118 min 58 s	123 min 13 s	127 min 27 s	131 min 42 s	135 min 57 s	140 min 12 s	144 min 26 s	148 min 41 s	152 min 56 s	157 min 11 s	161 min 25 s	165 min 40 s	169 min 54 s	174 min 9 s	178 min 24 s	182 min 38 s	186 min 53 s	191 min 8 s	195 min 22 s	199 min 37 s	203 min 52 s	208 min 6 s
C05	Sample X29	1353096	1471672	1530008	1565167	1548006	1512162	1437145	1328148	1218385	1093775	953227	808658	624690	440020	326693	282008	233995	197966	180371	150460	129453	121348	110427	104833	84953	69755	64150	60558	59887	58701	55875	55503	54313	53001	51631	52532	54607	49412	50503	55513	50125	49748	49885	48053	46322	46975	45566	45047	47860	45683
C06	Sample X30	1379437	1468867	1530292	1547871	1510937	1425955	1321943	1196848	1060993	902005	773392	589981	411852	219410	128866	91978	80851	66241	58888	52745	49583	49430	45700	45921	44880	41775	39006	38840	36782	36136	36320	34491	33260	34866	30541	30837	31062	29755	29625	28932	28860	30135	30798	28116	28000	28537	27787	27808	27398	26955
C07	Sample X31	1366321	1474682	1533058	1556776	1534611	1484841	1390735	1297847	1173751	1022537	884115	703356	498318	357085	309361	273231	242817	207262	179457	152351	129542	128707	118907	92255	83966	71435	64453	59881	58432	56838	53892	52171	52112	51335	50328	50872	51080	48208	47332	46702	46605	46372	44356	45055	44258	44510	43281	42670	40967	41855
C08	Sample X32	1324720	1456022	1515202	1565990	1563073	1533936	1483310	1395725	1308275	1157926	1071513	914723	741300	540822	298212	166100	120171	92287	79811	71771	64142	63033	60422	63353	62058	69321	70991	62377	86687	58573	271180	173383	52118	47911	47190	46941	47673	45861	62072	42482	42061	41005	42270	40923	39831	39687	38336	40641	38353	36753
C09	Sample X33	1335087	1441013	1528657	1572781	1590120	1588833	1559880	1508716	1455305	1376386	1298381	1210302	1121762	1000631	926518	870886	836713	826383	790236	754057	713146	666210	604187	528043	447055	338970	236405	149308	127198	118456	116715	114735	109991	108945	107975	107816	105788	105991	102353	101861	101636	99781	100552	100756	99243	99052	95523	96883	93676	94567
C10	Sample X34	1364075	1448768	1520760	1557141	1557298	1528051	1479941	1416476	1321171	1211753	1069168	961761	797763	621381	409567	216563	131986	101076	89845	76391	70053	65038	62538	60612	56148	55035	55886	50902	50040	50483	48876	47052	46238	45892	43675	47055	43390	42152	41690	39933	40335	38328	38541	39651	39615	37466	38450	38366	39402	38217
C11	Sample X35	1329953	1445086	1520195	1584257	1594917	1575886	1523076	1460861	1376615	1287470	1204393	1094422	993553	883168	841191	791616	745020	710031	673085	619611	545422	432160	328283	247978	183685	153746	112772	84853	76436	67770	62756	61796	58997	57707	56076	55880	57586	52910	52890	52295	50566	51127	51078	49515	49173	49291	47413	47656	47140	46562
C12	Sample X36	1383203	1477211	1515440	1526896	1531156	1517276	1484056	1430250	1382841	1313920	1238592	1173430	1070631	977017	905021	865683	832612	802122	766696	730573	691977	640218	590921	537806	472058	406801	378412	363482	362145	359482	347186	347948	344866	341596	342107	344037	345508	336520	339982	343515	334077	335827	343645	331681	342451	337362	336507	336058	340125	334767
D01	Sample X37	1395851	1510390	1565882	1584165	1577938	1554346	1511690	1396437	1304095	1180511	1007186	815075	599682	373145	199060	135315	109535	94722	81918	74952	69701	69828	65908	62178	59490	57447	55591	52183	51852	49110	48791	47677	46936	45816	45726	43388	43632	44462	42338	40973	40366	39102	39686	40936	37542	39817	36770	37181	36982	36771
D02	Sample X38	1381005	1499912	1564130	1568070	1522310	1437356	1343482	1189611	1039523	891956	684263	445832	244380	147972	117706	99451	92303	88412	69121	62438	61277	55148	53931	56186	53198	61017	50380	48238	46611	47471	44911	46633	44461	44840	45621	45413	45101	43207	46782	45920	46101	47045	45462	49765	47183	43287	49130	49268	47401	47330
